sub	all_n_go	all_n_nogo	all_n_acc	all_p_acc	all_n_go_hit	all_n_go_miss	all_n_nogo_cor	all_n_nogo_fa	all_p_go_hit	all_p_go_miss	all_p_nogo_cor	all_p_nogo_fa	all_rt_mean_go_hit	all_rt_mean_nogo_fa	all_rt_med_go_hit	all_rt_med_nogo_fa	all_z_hit	all_z_fa	all_z_hit_mm	all_z_fa_mm	all_z_hit_ll	all_z_fa_ll	all_d_prime_mm	all_d_prime_ll	all_a_prime_mm	all_a_prime_ll	all_c_mm	all_c_ll	all_grier_beta_mm	all_grier_beta_ll	b1_n_go	b1_n_nogo	b1_n_acc	b1_p_acc	b1_n_go_hit	b1_n_go_miss	b1_n_nogo_cor	b1_n_nogo_fa	b1_p_go_hit	b1_p_go_miss	b1_p_nogo_cor	b1_p_nogo_fa	b1_rt_mean_go_hit	b1_rt_mean_nogo_fa	b1_rt_med_go_hit	b1_rt_med_nogo_fa	b2_n_go	b2_n_nogo	b2_n_acc	b2_p_acc	b2_n_go_hit	b2_n_go_miss	b2_n_nogo_cor	b2_n_nogo_fa	b2_p_go_hit	b2_p_go_miss	b2_p_nogo_cor	b2_p_nogo_fa	b2_rt_mean_go_hit	b2_rt_mean_nogo_fa	b2_rt_med_go_hit	b2_rt_med_nogo_fa	b3_n_go	b3_n_nogo	b3_n_acc	b3_p_acc	b3_n_go_hit	b3_n_go_miss	b3_n_nogo_cor	b3_n_nogo_fa	b3_p_go_hit	b3_p_go_miss	b3_p_nogo_cor	b3_p_nogo_fa	b3_rt_mean_go_hit	b3_rt_mean_nogo_fa	b3_rt_med_go_hit	b3_rt_med_nogo_fa	b4_n_go	b4_n_nogo	b4_n_acc	b4_p_acc	b4_n_go_hit	b4_n_go_miss	b4_n_nogo_cor	b4_n_nogo_fa	b4_p_go_hit	b4_p_go_miss	b4_p_nogo_cor	b4_p_nogo_fa	b4_rt_mean_go_hit	b4_rt_mean_nogo_fa	b4_rt_med_go_hit	b4_rt_med_nogo_fa	b5_n_go	b5_n_nogo	b5_n_acc	b5_p_acc	b5_n_go_hit	b5_n_go_miss	b5_n_nogo_cor	b5_n_nogo_fa	b5_p_go_hit	b5_p_go_miss	b5_p_nogo_cor	b5_p_nogo_fa	b5_rt_mean_go_hit	b5_rt_mean_nogo_fa	b5_rt_med_go_hit	b5_rt_med_nogo_fa
1	150	50	180	0.9	148	2	32	18	0.987	0.013	0.64	0.36	493.757	382.0	491.0	355.5	2.216	-0.358	2.216	-0.358	2.131	-0.351	2.575	2.482	0.904	0.901	0.929	0.89	-0.892	-0.868	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	502.267	299.0	495.0	299.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	480.448	372.2	471.0	300.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	486.345	445.333	486.0	407.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	526.3	372.75	516.0	355.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	472.733	397.5	473.0	382.0
2	150	50	189	0.945	149	1	40	10	0.993	0.007	0.8	0.2	565.141	415.8	557.0	408.5	2.475	-0.842	2.475	-0.842	2.329	-0.821	3.316	3.15	0.948	0.945	0.817	0.754	-0.921	-0.887	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	569.733	439.333	550.5	451.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	539.233		535.5		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	557.655	380.0	551.0	385.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	633.0	483.0	608.5	483.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	525.833	405.667	541.5	399.0
3	150	50	183	0.915	140	10	43	7	0.933	0.067	0.86	0.14	579.971	408.429	566.0	424.0	1.501	-1.08	1.501	-1.08	1.479	-1.049	2.581	2.528	0.943	0.94	0.21	0.215	-0.319	-0.319	30	10	28	0.7	20	10	8	2	0.667	0.333	0.8	0.2	535.05	335.5	550.5	335.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	590.767		576.0		30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	596.533		573.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	588.167	551.0	566.0	551.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	574.367	409.25	564.5	456.0
4	150	50	171	0.855	143	7	28	22	0.953	0.047	0.56	0.44	557.385	416.455	523.0	460.5	1.678	-0.151	1.678	-0.151	1.648	-0.148	1.829	1.796	0.864	0.862	0.764	0.75	-0.694	-0.679	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	557.286	377.0	533.5	469.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	554.897	487.5	529.0	490.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	563.138	430.8	526.0	427.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	552.25	324.4	530.0	406.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	559.172	461.0	501.0	461.0
5	150	50	187	0.935	150	0	37	13	1.0	0.0	0.74	0.26	560.713	362.692	542.5	368.0	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	555.3	210.5	541.0	210.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	556.6	285.667	534.5	310.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	529.967	431.333	525.0	458.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	623.067	441.0	630.5	441.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	538.633	425.5	554.5	405.5
6	150	50	182	0.91	147	3	35	15	0.98	0.02	0.7	0.3	548.313	381.333	522.0	398.0	2.054	-0.524	2.054	-0.524	1.992	-0.513	2.578	2.505	0.916	0.914	0.765	0.739	-0.829	-0.807	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	527.2	425.833	506.5	386.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	551.533		546.5		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	528.0	314.0	506.0	303.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	512.759	308.333	483.0	398.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	622.69	432.667	601.0	469.0
7	150	50	180	0.9	150	0	30	20	1.0	0.0	0.6	0.4	533.907	415.15	525.5	445.5	inf	-0.253	2.713	-0.253	2.715	-0.248	2.966	2.964	0.898	0.898	1.23	1.233	-0.973	-0.973	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	492.533	412.5	453.0	397.5	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	551.3	376.833	529.0	457.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	551.033	479.0	535.5	465.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	549.2	422.5	561.5	422.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	525.467	428.333	528.5	447.0
9	150	50	157	0.785	138	12	19	31	0.92	0.08	0.38	0.62	437.399	388.548	423.0	385.0	1.405	0.305	1.405	0.305	1.387	0.299	1.1	1.087	0.779	0.778	0.855	0.843	-0.524	-0.513	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	486.69	471.333	474.0	428.0	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	424.571	420.833	403.5	422.5	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	439.357	330.833	397.5	338.0	30	10	31	0.775	27	3	4	6	0.9	0.1	0.4	0.6	444.704	350.833	408.0	365.5	30	10	29	0.725	26	4	3	7	0.867	0.133	0.3	0.7	386.538	371.714	381.5	394.0
11	150	50	190	0.95	148	2	42	8	0.987	0.013	0.84	0.16	501.365	342.5	501.0	322.0	2.216	-0.994	2.216	-0.994	2.131	-0.967	3.211	3.098	0.955	0.953	0.611	0.582	-0.822	-0.79	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	566.033	431.0	549.0	431.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	549.379	316.0	551.0	316.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	455.967	328.0	455.5	328.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	459.867	347.0	465.5	347.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	476.345	315.0	482.0	315.0
17	150	50	173	0.865	148	2	25	25	0.987	0.013	0.5	0.5	522.446	455.8	510.0	437.0	2.216	0.0	2.216	0.0	2.131	0.0	2.216	2.131	0.867	0.865	1.108	1.065	-0.9	-0.878	30	10	31	0.775	30	0	1	9	1.0	0.0	0.1	0.9	486.1	445.444	483.5	437.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	523.034	384.5	509.0	384.5	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	494.667	393.5	482.0	398.5	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	559.172	494.0	544.0	479.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	550.5	554.8	541.0	463.0
18	150	50	184	0.92	150	0	34	16	1.0	0.0	0.68	0.32	486.053	397.375	480.0	397.5	inf	-0.468	2.713	-0.468	2.715	-0.458	3.181	3.173	0.919	0.918	1.123	1.129	-0.97	-0.97	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	509.367	390.0	504.0	409.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	466.867	311.5	423.5	311.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	472.0	387.0	458.5	387.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	474.4	376.5	483.0	388.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	507.633	510.667	525.5	488.0
19	150	50	176	0.88	145	5	31	19	0.967	0.033	0.62	0.38	543.428	423.947	532.0	406.0	1.834	-0.305	1.834	-0.305	1.794	-0.299	2.139	2.093	0.888	0.886	0.764	0.747	-0.759	-0.741	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	591.621	371.5	609.0	407.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	530.69	406.0	538.0	406.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	463.655	286.0	452.0	389.0	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	573.821	672.667	543.5	498.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	557.9	412.5	511.0	397.0
20	150	50	174	0.87	143	7	31	19	0.953	0.047	0.62	0.38	605.112	424.211	573.0	406.0	1.678	-0.305	1.678	-0.305	1.648	-0.299	1.984	1.947	0.882	0.879	0.686	0.674	-0.682	-0.667	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	554.267	397.5	513.5	397.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	592.367	412.0	567.0	423.5	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	604.034	449.0	563.0	349.0	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	639.103	426.333	645.0	386.0	30	10	32	0.8	25	5	7	3	0.833	0.167	0.7	0.3	643.24	421.0	627.0	411.0
21	150	50	185	0.925	148	2	37	13	0.987	0.013	0.74	0.26	583.966	438.692	571.5	405.0	2.216	-0.643	2.216	-0.643	2.131	-0.629	2.86	2.76	0.93	0.927	0.787	0.751	-0.872	-0.846	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	603.633	451.0	583.0	437.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	588.033	481.0	578.5	481.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	558.379	393.25	549.0	393.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	574.567	541.5	539.5	541.5	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	594.724	381.0	588.0	381.0
22	150	50	180	0.9	144	6	36	14	0.96	0.04	0.72	0.28	611.132	467.357	595.5	459.0	1.751	-0.583	1.751	-0.583	1.716	-0.57	2.334	2.286	0.913	0.911	0.584	0.573	-0.68	-0.663	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	555.767	448.5	544.0	448.5	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	655.345	403.0	635.0	403.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	652.345	465.333	615.0	426.0	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	574.25	454.25	569.0	430.0	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	618.857	507.5	591.0	510.5
23	150	50	171	0.855	138	12	33	17	0.92	0.08	0.66	0.34	570.623	446.882	562.0	433.0	1.405	-0.412	1.405	-0.412	1.387	-0.404	1.818	1.791	0.877	0.875	0.496	0.491	-0.506	-0.496	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	574.643	426.0	538.0	445.0	30	10	31	0.775	24	6	7	3	0.8	0.2	0.7	0.3	571.625	406.0	574.5	416.0	30	10	32	0.8	27	3	5	5	0.9	0.1	0.5	0.5	561.667	424.6	513.0	430.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	617.586	468.5	617.0	434.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	528.733	552.0	542.0	552.0
26	150	50	191	0.955	150	0	41	9	1.0	0.0	0.82	0.18	570.313	501.667	563.0	475.0	inf	-0.915	2.713	-0.915	2.715	-0.892	3.628	3.607	0.954	0.952	0.899	0.912	-0.956	-0.957	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	557.267	469.0	545.0	469.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	555.0	476.0	564.5	476.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	587.433		582.0		30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	599.267	662.0	606.0	662.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	552.6	433.667	554.5	446.0
28	150	50	177	0.885	147	3	30	20	0.98	0.02	0.6	0.4	457.429	472.5	436.0	383.0	2.054	-0.253	2.054	-0.253	1.992	-0.248	2.307	2.24	0.89	0.887	0.9	0.872	-0.849	-0.828	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	457.533	363.6	450.0	365.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	440.345	664.333	400.0	421.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	439.033	400.0	423.5	400.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	488.759	556.75	442.0	367.5	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	462.103	435.333	443.0	391.5
30	150	50	183	0.915	144	6	39	11	0.96	0.04	0.78	0.22	627.188	423.818	624.5	435.0	1.751	-0.772	1.751	-0.772	1.716	-0.754	2.523	2.47	0.93	0.927	0.489	0.481	-0.634	-0.618	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	639.033	403.333	625.5	376.0	30	10	38	0.95	28	2	10	0	0.933	0.067	1.0	0.0	630.321		617.0		30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	674.893	150.0	672.5	150.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	605.464	478.0	646.5	435.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	588.167	456.0	587.5	456.0
31	150	50	175	0.875	146	4	29	21	0.973	0.027	0.58	0.42	483.438	434.524	476.5	341.0	1.932	-0.202	1.932	-0.202	1.884	-0.198	2.134	2.082	0.881	0.878	0.865	0.843	-0.807	-0.788	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	507.233	312.667	498.5	300.0	30	10	31	0.775	28	2	3	7	0.933	0.067	0.3	0.7	488.964	498.857	506.5	333.0	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	442.679	374.25	435.5	327.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	518.033	476.6	504.5	382.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	457.933	407.5	449.0	407.5
33	150	50	178	0.89	146	4	32	18	0.973	0.027	0.64	0.36	649.671	481.5	646.5	493.5	1.932	-0.358	1.932	-0.358	1.884	-0.351	2.291	2.235	0.897	0.895	0.787	0.766	-0.798	-0.778	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	636.179	513.333	646.5	518.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	686.333	454.0	676.0	454.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	648.724	545.333	606.0	538.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	672.367	440.833	660.0	425.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	602.241	478.4	577.0	542.0
34	150	50	179	0.895	146	4	33	17	0.973	0.027	0.66	0.34	538.781	462.941	530.0	457.0	1.932	-0.412	1.932	-0.412	1.884	-0.404	2.345	2.288	0.903	0.9	0.76	0.74	-0.793	-0.773	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	522.862	428.0	509.0	414.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	558.552	545.667	549.0	497.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	528.433	381.333	498.0	370.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	561.034	481.667	549.0	491.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	523.379	501.333	513.0	520.0
35	150	50	179	0.895	143	7	36	14	0.953	0.047	0.72	0.28	606.266	514.643	581.0	511.5	1.678	-0.583	1.678	-0.583	1.648	-0.57	2.261	2.218	0.91	0.908	0.548	0.539	-0.638	-0.623	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	578.759	470.0	580.0	470.0	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	598.778	511.0	589.0	518.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	599.034	555.667	581.0	510.0	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	643.321	540.667	630.0	519.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	612.0	467.333	558.5	493.0
36	150	50	175	0.875	147	3	28	22	0.98	0.02	0.56	0.44	447.551	418.864	434.0	392.0	2.054	-0.151	2.054	-0.151	1.992	-0.148	2.205	2.14	0.879	0.877	0.951	0.922	-0.853	-0.832	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	441.6	335.333	430.5	317.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	459.067	340.25	420.0	351.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	463.133	486.0	443.5	490.5	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	432.517	351.4	427.0	371.0	30	10	32	0.8	28	2	4	6	0.933	0.067	0.4	0.6	440.464	524.5	432.0	478.0
37	150	50	181	0.905	141	9	40	10	0.94	0.06	0.8	0.2	683.035	550.4	674.0	587.0	1.555	-0.842	1.555	-0.842	1.531	-0.821	2.396	2.352	0.928	0.925	0.357	0.355	-0.479	-0.47	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	664.786	362.333	648.0	465.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	649.233	410.0	669.0	410.0	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	692.786	632.0	645.5	632.0	30	10	34	0.85	26	4	8	2	0.867	0.133	0.8	0.2	703.731	603.0	707.0	603.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	707.655	768.5	703.0	768.5
38	150	50	191	0.955	148	2	43	7	0.987	0.013	0.86	0.14	528.216	431.286	522.5	418.0	2.216	-1.08	2.216	-1.08	2.131	-1.049	3.297	3.18	0.961	0.958	0.568	0.541	-0.803	-0.77	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	531.069	408.0	522.0	408.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	555.167		539.5		30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	521.567	451.0	530.5	423.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	539.2	394.0	513.5	394.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	493.0	456.0	484.0	456.0
39	150	50	177	0.885	146	4	31	19	0.973	0.027	0.62	0.38	604.192	505.158	588.5	467.0	1.932	-0.305	1.932	-0.305	1.884	-0.299	2.238	2.183	0.892	0.889	0.813	0.792	-0.802	-0.782	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	566.0	478.8	560.5	464.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	569.833	460.333	563.5	464.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	630.933	463.0	618.5	562.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	608.393	565.6	582.5	491.0	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	649.071	535.333	665.5	475.0
40	150	50	191	0.955	145	5	46	4	0.967	0.033	0.92	0.08	601.297	475.25	580.0	472.0	1.834	-1.405	1.834	-1.405	1.794	-1.352	3.239	3.145	0.97	0.967	0.214	0.221	-0.391	-0.393	30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	589.607	469.0	579.0	469.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	609.379	480.5	581.0	480.5	30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	603.0		539.0		30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	600.655		585.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	603.367	471.0	594.5	471.0
41	150	50	197	0.985	149	1	48	2	0.993	0.007	0.96	0.04	628.745	521.0	628.0	521.0	2.475	-1.751	2.475	-1.751	2.329	-1.654	4.225	3.983	0.988	0.985	0.362	0.337	-0.706	-0.652	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	629.567	530.0	633.0	530.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	625.467	512.0	622.5	512.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	650.333		635.5		30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	660.103		660.0		30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	579.3		584.0	
