sub	all_n_go	all_n_nogo	all_n_acc	all_p_acc	all_n_go_hit	all_n_go_miss	all_n_nogo_cor	all_n_nogo_fa	all_p_go_hit	all_p_go_miss	all_p_nogo_cor	all_p_nogo_fa	all_rt_mean_go_hit	all_rt_mean_nogo_fa	all_rt_med_go_hit	all_rt_med_nogo_fa	all_z_hit	all_z_fa	all_z_hit_mm	all_z_fa_mm	all_z_hit_ll	all_z_fa_ll	all_d_prime_mm	all_d_prime_ll	all_a_prime_mm	all_a_prime_ll	all_c_mm	all_c_ll	all_grier_beta_mm	all_grier_beta_ll	b1_n_go	b1_n_nogo	b1_n_acc	b1_p_acc	b1_n_go_hit	b1_n_go_miss	b1_n_nogo_cor	b1_n_nogo_fa	b1_p_go_hit	b1_p_go_miss	b1_p_nogo_cor	b1_p_nogo_fa	b1_rt_mean_go_hit	b1_rt_mean_nogo_fa	b1_rt_med_go_hit	b1_rt_med_nogo_fa	b2_n_go	b2_n_nogo	b2_n_acc	b2_p_acc	b2_n_go_hit	b2_n_go_miss	b2_n_nogo_cor	b2_n_nogo_fa	b2_p_go_hit	b2_p_go_miss	b2_p_nogo_cor	b2_p_nogo_fa	b2_rt_mean_go_hit	b2_rt_mean_nogo_fa	b2_rt_med_go_hit	b2_rt_med_nogo_fa	b3_n_go	b3_n_nogo	b3_n_acc	b3_p_acc	b3_n_go_hit	b3_n_go_miss	b3_n_nogo_cor	b3_n_nogo_fa	b3_p_go_hit	b3_p_go_miss	b3_p_nogo_cor	b3_p_nogo_fa	b3_rt_mean_go_hit	b3_rt_mean_nogo_fa	b3_rt_med_go_hit	b3_rt_med_nogo_fa	b4_n_go	b4_n_nogo	b4_n_acc	b4_p_acc	b4_n_go_hit	b4_n_go_miss	b4_n_nogo_cor	b4_n_nogo_fa	b4_p_go_hit	b4_p_go_miss	b4_p_nogo_cor	b4_p_nogo_fa	b4_rt_mean_go_hit	b4_rt_mean_nogo_fa	b4_rt_med_go_hit	b4_rt_med_nogo_fa	b5_n_go	b5_n_nogo	b5_n_acc	b5_p_acc	b5_n_go_hit	b5_n_go_miss	b5_n_nogo_cor	b5_n_nogo_fa	b5_p_go_hit	b5_p_go_miss	b5_p_nogo_cor	b5_p_nogo_fa	b5_rt_mean_go_hit	b5_rt_mean_nogo_fa	b5_rt_med_go_hit	b5_rt_med_nogo_fa
43	150	50	185	0.925	150	0	35	15	1.0	0.0	0.7	0.3	519.653	427.8	501.0	418.0	inf	-0.524	2.713	-0.524	2.715	-0.513	3.237	3.228	0.924	0.923	1.094	1.101	-0.969	-0.969	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	540.267	382.0	532.5	413.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	527.233	424.4	497.0	402.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	494.5	405.25	470.5	416.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	515.333	482.0	519.0	482.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	520.933	523.0	495.0	523.0
45	150	50	189	0.945	150	0	39	11	1.0	0.0	0.78	0.22	457.98	387.182	455.5	384.0	inf	-0.772	2.713	-0.772	2.715	-0.754	3.485	3.469	0.944	0.942	0.97	0.981	-0.962	-0.963	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	432.3	437.0	437.5	437.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	498.3	376.667	488.5	384.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	460.8	373.0	460.5	373.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	450.933	365.0	440.5	365.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	447.567	389.5	456.5	389.5
47	150	50	177	0.885	144	6	33	17	0.96	0.04	0.66	0.34	508.917	467.882	509.5	442.0	1.751	-0.412	1.751	-0.412	1.716	-0.404	2.163	2.12	0.896	0.894	0.669	0.656	-0.708	-0.691	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	482.75	518.0	458.0	518.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	508.167	388.333	517.0	423.0	30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	461.214	391.0	474.0	391.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	537.733	446.667	555.5	429.0	30	10	33	0.825	28	2	5	5	0.933	0.067	0.5	0.5	552.714	536.4	541.5	448.0
48	150	50	187	0.935	149	1	38	12	0.993	0.007	0.76	0.24	570.007	375.083	561.0	367.5	2.475	-0.706	2.475	-0.706	2.329	-0.69	3.181	3.019	0.937	0.935	0.884	0.819	-0.93	-0.899	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	563.586	419.75	552.0	417.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	557.133	358.0	532.5	352.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	533.0	357.75	534.0	351.5	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	586.367	317.0	577.0	317.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	609.733		596.0	
49	150	50	168	0.84	149	1	19	31	0.993	0.007	0.38	0.62	454.872	410.484	451.0	388.0	2.475	0.305	2.475	0.305	2.329	0.299	2.169	2.03	0.84	0.838	1.39	1.314	-0.945	-0.92	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	416.533	322.0	406.0	355.5	30	10	33	0.825	29	1	4	6	0.967	0.033	0.4	0.6	437.931	423.667	457.0	445.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	489.533	379.5	492.0	368.5	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	443.933	509.2	416.0	461.0	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	485.867	428.5	468.5	399.5
51	150	50	2	0.01	2	148	0	50	0.013	0.987	0.0	1.0	708.0	624.7	708.0	587.0	-2.216	inf	-2.216	inf	-2.131	2.334	#NAME?	-4.464	0.003	0.007	inf	0.102	-1.0	-0.253	30	10	1	0.025	1	29	0	10	0.033	0.967	0.0	1.0	948.0	633.1	948.0	626.0	30	10	0	0.0	0	30	0	10	0.0	1.0	0.0	1.0		630.9		576.0	30	10	0	0.0	0	30	0	10	0.0	1.0	0.0	1.0		668.6		618.5	30	10	0	0.0	0	30	0	10	0.0	1.0	0.0	1.0		580.0		537.5	30	10	1	0.025	1	29	0	10	0.033	0.967	0.0	1.0	468.0	610.9	468.0	634.5
52	150	50	173	0.865	135	15	38	12	0.9	0.1	0.76	0.24	619.074	569.5	578.0	527.0	1.282	-0.706	1.282	-0.706	1.267	-0.69	1.988	1.957	0.9	0.898	0.288	0.288	-0.339	-0.335	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	619.733	523.0	587.5	523.0	30	10	33	0.825	26	4	7	3	0.867	0.133	0.7	0.3	596.269	657.333	582.0	538.0	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	536.074	664.5	526.0	606.5	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	667.75	539.0	611.0	539.0	30	10	33	0.825	24	6	9	1	0.8	0.2	0.9	0.1	679.542	80.0	626.0	80.0
54	150	50	185	0.925	145	5	40	10	0.967	0.033	0.8	0.2	530.559	427.7	527.0	418.0	1.834	-0.842	1.834	-0.842	1.794	-0.821	2.676	2.615	0.938	0.935	0.496	0.486	-0.665	-0.647	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	511.69	414.75	511.0	405.0	30	10	35	0.875	28	2	7	3	0.933	0.067	0.7	0.3	547.143	392.667	544.0	386.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	498.828	484.0	504.0	484.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	548.483	478.0	537.0	478.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	546.667		541.5	
55	150	50	184	0.92	149	1	35	15	0.993	0.007	0.7	0.3	474.396	349.4	468.0	382.0	2.475	-0.524	2.475	-0.524	2.329	-0.513	2.999	2.842	0.922	0.92	0.975	0.908	-0.939	-0.911	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	512.2	333.0	510.0	333.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	486.733	271.5	464.5	271.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	450.333	404.0	449.0	404.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	452.533	357.5	449.5	357.5	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	470.034	358.429	454.0	388.0
56	150	50	193	0.965	147	3	46	4	0.98	0.02	0.92	0.08	539.918	449.0	519.0	451.5	2.054	-1.405	2.054	-1.405	1.992	-1.352	3.459	3.344	0.974	0.971	0.324	0.32	-0.579	-0.561	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	551.733		539.0		30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	509.483	420.0	490.0	420.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	536.138	443.0	510.0	443.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	557.033		528.5		30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	544.207	466.5	545.0	466.5
57	150	50	161	0.805	143	7	18	32	0.953	0.047	0.36	0.64	500.406	364.188	502.0	333.0	1.678	0.358	1.678	0.358	1.648	0.351	1.32	1.297	0.8	0.798	1.018	1.0	-0.676	-0.661	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	533.867	490.667	522.5	341.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	623.1	408.6	575.5	426.0	30	10	33	0.825	30	0	3	7	1.0	0.0	0.3	0.7	420.633	381.714	396.0	293.0	30	10	27	0.675	25	5	2	8	0.833	0.167	0.2	0.8	449.36	282.375	395.0	245.0	30	10	29	0.725	28	2	1	9	0.933	0.067	0.1	0.9	464.143	356.444	421.0	353.0
58	150	50	193	0.965	149	1	44	6	0.993	0.007	0.88	0.12	590.081	443.5	582.0	371.0	2.475	-1.175	2.475	-1.175	2.329	-1.139	3.65	3.467	0.968	0.965	0.65	0.595	-0.882	-0.837	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	641.667	442.0	675.0	442.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	603.567	366.0	591.0	366.0	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	628.1		633.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	548.267	705.0	546.0	705.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	526.69	353.0	512.0	353.0
68	150	50	180	0.9	149	1	31	19	0.993	0.007	0.62	0.38	552.215	421.684	543.0	391.0	2.475	-0.305	2.475	-0.305	2.329	-0.299	2.78	2.628	0.902	0.899	1.085	1.015	-0.945	-0.92	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	528.067	370.0	512.0	391.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	562.633	371.2	545.5	355.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	536.733	400.333	527.0	402.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	549.862	464.2	512.0	376.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	583.7	508.0	569.0	513.0
69	150	50	180	0.9	146	4	34	16	0.973	0.027	0.68	0.32	532.932	475.625	535.0	458.0	1.932	-0.468	1.932	-0.468	1.884	-0.458	2.4	2.342	0.908	0.906	0.732	0.713	-0.787	-0.767	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	548.379	513.5	560.0	552.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	547.4	437.333	562.0	465.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	432.9	505.0	501.0	505.0	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	609.321	595.5	576.5	458.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	532.241	339.25	529.0	365.5
70	150	50	173	0.865	148	2	25	25	0.987	0.013	0.5	0.5	495.946	402.72	489.5	380.0	2.216	0.0	2.216	0.0	2.131	0.0	2.216	2.131	0.867	0.865	1.108	1.065	-0.9	-0.878	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	471.759	396.286	450.0	374.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	492.233	374.0	487.5	376.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	488.133	357.667	481.5	356.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	516.5	439.0	537.5	441.0	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	510.793	424.143	516.0	398.0
71	150	50	182	0.91	150	0	32	18	1.0	0.0	0.64	0.36	526.613	422.556	508.5	430.0	inf	-0.358	2.713	-0.358	2.715	-0.351	3.072	3.066	0.908	0.908	1.177	1.182	-0.972	-0.972	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	502.4	406.0	469.5	378.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	570.9	427.75	580.5	421.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	519.8	443.0	484.5	444.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	554.067	455.5	538.5	455.5	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	485.9	397.0	483.0	467.0
72	150	50	184	0.92	148	2	36	14	0.987	0.013	0.72	0.28	524.291	420.286	525.5	419.5	2.216	-0.583	2.216	-0.583	2.131	-0.57	2.799	2.701	0.924	0.922	0.817	0.78	-0.877	-0.852	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	540.533	430.667	516.0	426.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	551.8	404.333	558.5	419.0	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	504.862	373.0	495.0	373.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	527.5	216.0	542.5	216.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	495.138	514.8	472.0	433.0
73	150	50	181	0.905	145	5	36	14	0.967	0.033	0.72	0.28	508.372	404.286	503.0	361.5	1.834	-0.583	1.834	-0.583	1.794	-0.57	2.417	2.364	0.916	0.914	0.626	0.612	-0.724	-0.706	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	547.034	415.4	544.0	422.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	510.5	487.0	506.0	487.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	479.5	453.5	477.0	453.5	30	10	35	0.875	27	3	8	2	0.9	0.1	0.8	0.2	515.259	392.0	518.0	392.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	490.966	306.0	484.0	341.0
74	150	50	193	0.965	147	3	46	4	0.98	0.02	0.92	0.08	568.388	405.0	562.0	397.0	2.054	-1.405	2.054	-1.405	1.992	-1.352	3.459	3.344	0.974	0.971	0.324	0.32	-0.579	-0.561	30	10	38	0.95	29	1	9	1	0.967	0.033	0.9	0.1	601.724	386.0	608.0	386.0	30	10	39	0.975	29	1	10	0	0.967	0.033	1.0	0.0	568.483		562.0		30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	539.1	373.0	537.5	373.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	566.724	430.5	555.0	430.5	30	10	40	1.0	30	0	10	0	1.0	0.0	1.0	0.0	566.967		567.0	
75	150	50	178	0.89	145	5	33	17	0.967	0.033	0.66	0.34	551.621	450.765	537.0	466.0	1.834	-0.412	1.834	-0.412	1.794	-0.404	2.246	2.198	0.899	0.897	0.711	0.695	-0.749	-0.731	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	562.467	408.0	553.5	410.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	530.172	409.0	520.0	361.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	574.862	497.5	563.0	488.0	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	513.536	414.5	508.0	414.5	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	575.379	478.6	549.0	523.0
76	150	50	186	0.93	146	4	40	10	0.973	0.027	0.8	0.2	563.411	304.5	539.5	293.0	1.932	-0.842	1.932	-0.842	1.884	-0.821	2.774	2.705	0.94	0.938	0.545	0.531	-0.721	-0.699	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	578.467	572.0	556.5	572.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	540.733	335.0	527.0	411.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	574.207	352.0	535.0	365.0	30	10	38	0.95	28	2	10	0	0.933	0.067	1.0	0.0	539.75		536.0		30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	583.345	137.333	507.0	164.0
77	150	50	180	0.9	149	1	31	19	0.993	0.007	0.62	0.38	532.973	408.632	535.0	384.0	2.475	-0.305	2.475	-0.305	2.329	-0.299	2.78	2.628	0.902	0.899	1.085	1.015	-0.945	-0.92	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	540.207	405.0	543.0	384.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	540.3	420.333	542.5	371.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	515.133	471.25	512.5	483.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	548.667	354.0	563.5	363.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	520.8	390.167	447.0	391.0
78	150	50	177	0.885	147	3	30	20	0.98	0.02	0.6	0.4	584.483	467.15	574.0	475.5	2.054	-0.253	2.054	-0.253	1.992	-0.248	2.307	2.24	0.89	0.887	0.9	0.872	-0.849	-0.828	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	617.133	487.667	554.5	481.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	570.207	529.0	580.0	529.0	30	10	35	0.875	29	1	6	4	0.967	0.033	0.6	0.4	567.586	431.75	549.0	455.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	584.033	445.0	583.0	521.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	582.345	469.0	583.0	545.0
80	150	50	187	0.935	150	0	37	13	1.0	0.0	0.74	0.26	470.067	397.692	462.0	398.0	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	461.033	328.667	468.5	333.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	473.7	403.5	459.5	403.5	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	458.033	380.667	449.0	351.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	477.267	441.0	457.5	462.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	480.3	456.0	485.5	456.0
81	150	50	187	0.935	150	0	37	13	1.0	0.0	0.74	0.26	481.74	400.692	468.0	366.0	inf	-0.643	2.713	-0.643	2.715	-0.629	3.356	3.344	0.934	0.932	1.035	1.043	-0.966	-0.967	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	454.267	444.5	468.0	444.5	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	502.833	393.8	501.0	356.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	454.367	366.0	448.5	366.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	498.533	402.0	487.5	375.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	498.7	389.5	447.0	389.5
82	150	50	183	0.915	149	1	34	16	0.993	0.007	0.68	0.32	535.819	421.625	542.0	405.5	2.475	-0.468	2.475	-0.468	2.329	-0.458	2.942	2.787	0.917	0.915	1.004	0.935	-0.941	-0.914	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	529.3	382.75	552.0	383.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	575.067	523.667	558.5	568.0	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	506.483	363.0	495.0	363.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	545.033	489.5	532.0	489.5	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	522.233	387.8	510.0	375.0
83	150	50	176	0.88	137	13	39	11	0.913	0.087	0.78	0.22	681.453	558.182	659.0	567.0	1.362	-0.772	1.362	-0.772	1.344	-0.754	2.134	2.098	0.912	0.909	0.295	0.295	-0.369	-0.364	30	10	36	0.9	28	2	8	2	0.933	0.067	0.8	0.2	667.571	535.0	612.5	535.0	30	10	37	0.925	28	2	9	1	0.933	0.067	0.9	0.1	712.071	597.0	690.5	597.0	30	10	31	0.775	25	5	6	4	0.833	0.167	0.6	0.4	702.28	537.75	741.0	536.5	30	10	34	0.85	26	4	8	2	0.867	0.133	0.8	0.2	707.077	602.0	693.0	602.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	626.267	559.0	636.5	559.0
84	150	50	176	0.88	149	1	27	23	0.993	0.007	0.54	0.46	521.792	424.087	507.0	372.0	2.475	-0.1	2.475	-0.1	2.329	-0.098	2.575	2.427	0.881	0.879	1.187	1.115	-0.948	-0.924	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	534.3	378.0	528.5	378.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	518.933	367.25	519.5	375.0	30	10	34	0.85	30	0	4	6	1.0	0.0	0.4	0.6	477.4	354.833	448.5	347.5	30	10	32	0.8	30	0	2	8	1.0	0.0	0.2	0.8	527.4	512.25	506.0	386.5	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	551.931	434.0	562.0	361.0
89	150	50	180	0.9	148	2	32	18	0.987	0.013	0.64	0.36	478.162	401.889	460.5	412.5	2.216	-0.358	2.216	-0.358	2.131	-0.351	2.575	2.482	0.904	0.901	0.929	0.89	-0.892	-0.868	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	440.367	426.8	423.0	419.0	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	451.069	353.667	430.0	344.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	473.345	402.8	439.0	432.0	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	526.067	386.75	509.0	378.5	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	498.9	478.0	491.0	478.0
90	150	50	166	0.83	145	5	21	29	0.967	0.033	0.42	0.58	510.834	409.552	474.0	364.0	1.834	0.202	1.834	0.202	1.794	0.198	1.632	1.596	0.83	0.828	1.018	0.996	-0.766	-0.748	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	434.793	474.286	420.0	381.0	30	10	34	0.85	29	1	5	5	0.967	0.033	0.5	0.5	499.034	331.6	488.0	348.0	30	10	35	0.875	30	0	5	5	1.0	0.0	0.5	0.5	547.067	368.6	489.0	364.0	30	10	34	0.85	28	2	6	4	0.933	0.067	0.6	0.4	553.75	463.0	506.0	415.5	30	10	31	0.775	29	1	2	8	0.967	0.033	0.2	0.8	519.759	400.5	488.0	346.0
93	150	50	186	0.93	147	3	39	11	0.98	0.02	0.78	0.22	553.224	450.0	544.0	411.0	2.054	-0.772	2.054	-0.772	1.992	-0.754	2.826	2.746	0.937	0.935	0.641	0.619	-0.795	-0.77	30	10	36	0.9	30	0	6	4	1.0	0.0	0.6	0.4	568.833	486.25	548.0	470.0	30	10	39	0.975	30	0	9	1	1.0	0.0	0.9	0.1	600.333	261.0	599.0	261.0	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	540.867	642.5	543.5	642.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	529.1	346.0	524.5	346.0	30	10	35	0.875	27	3	8	2	0.9	0.1	0.8	0.2	524.074	383.5	512.0	383.5
94	150	50	158	0.79	135	15	23	27	0.9	0.1	0.46	0.54	620.067	471.778	595.0	510.0	1.282	0.1	1.282	0.1	1.267	0.098	1.181	1.168	0.796	0.794	0.691	0.683	-0.468	-0.459	30	10	32	0.8	27	3	5	5	0.9	0.1	0.5	0.5	688.852	517.6	634.0	515.0	30	10	33	0.825	27	3	6	4	0.9	0.1	0.6	0.4	610.407	562.25	591.0	560.0	30	10	32	0.8	29	1	3	7	0.967	0.033	0.3	0.7	605.586	425.571	571.0	409.0	30	10	30	0.75	25	5	5	5	0.833	0.167	0.5	0.5	573.76	536.2	595.0	536.0	30	10	31	0.775	27	3	4	6	0.9	0.1	0.4	0.6	619.37	373.5	631.0	450.0
95	150	50	185	0.925	148	2	37	13	0.987	0.013	0.74	0.26	538.527	419.077	509.0	395.0	2.216	-0.643	2.216	-0.643	2.131	-0.629	2.86	2.76	0.93	0.927	0.787	0.751	-0.872	-0.846	30	10	37	0.925	29	1	8	2	0.967	0.033	0.8	0.2	551.69	454.5	532.0	454.5	30	10	38	0.95	30	0	8	2	1.0	0.0	0.8	0.2	548.633	435.5	521.0	435.5	30	10	36	0.9	29	1	7	3	0.967	0.033	0.7	0.3	503.0	409.0	474.0	384.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	541.2	351.333	506.0	352.0	30	10	37	0.925	30	0	7	3	1.0	0.0	0.7	0.3	547.367	462.333	522.5	395.0
