sub	ses	block	n_targets	n_fill	n_trials	n_acc	p_acc	n_target_hit	p_target_hit	n_target_miss	p_target_miss	n_fill_corr	p_fill_corr	n_fill_fa	p_fill_fa	p_target_ba	rt_mean_target_hit	rt_med_target_hit
76.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	646.812	594.5
76.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	688.071	680.0
76.0	1.0	b2	16.0	44.0	60.0	50.0	83.333	7.0	43.75	9.0	56.25	43.0	97.727	1.0	2.273	70.739	462.0	461.0
77.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	629.75	625.0
77.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	780.5	790.5
77.0	1.0	b2	16.0	44.0	60.0	48.0	80.0	5.0	31.25	11.0	68.75	43.0	97.727	1.0	2.273	64.489	906.2	719.0
78.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	689.25	667.0
78.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	752.6	647.0
78.0	1.0	b2	16.0	44.0	60.0	50.0	83.333	10.0	62.5	6.0	37.5	40.0	90.909	4.0	9.091	76.705	924.2	619.0
80.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	510.5	499.0
80.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	619.875	623.5
80.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	654.6	667.0
81.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	541.25	551.0
81.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	569.267	567.0
81.0	1.0	b2	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	578.286	494.5
83.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	760.375	699.0
83.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	754.938	743.5
83.0	1.0	b2	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	942.0	954.0
84.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	650.562	578.0
84.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	806.071	777.0
84.0	1.0	b2	16.0	44.0	60.0	49.0	81.667	5.0	31.25	11.0	68.75	44.0	100.0	0.0	0.0	65.625	538.4	443.0
89.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	540.438	520.0
89.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	711.062	727.0
89.0	1.0	b2	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	771.417	669.0
90.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	593.875	594.5
90.0	1.0	b1	16.0	44.0	60.0	56.0	93.333	14.0	87.5	2.0	12.5	42.0	95.455	2.0	4.545	91.477	734.0	738.5
90.0	1.0	b2	16.0	44.0	60.0	56.0	93.333	13.0	81.25	3.0	18.75	43.0	97.727	1.0	2.273	89.489	971.769	785.0
93.0	1.0	b0	12.0	34.0	46.0	30.0	65.217	8.0	66.667	4.0	33.333	22.0	64.706	12.0	35.294	65.686	542.625	460.5
93.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	613.438	571.5
93.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	731.231	713.0
94.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	785.438	664.5
94.0	1.0	b1	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	814.231	811.0
94.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	696.286	653.0
95.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	430.625	428.0
95.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	618.0	654.5
95.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	790.615	859.0
96.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	518.812	528.5
96.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	630.4	675.0
96.0	1.0	b2	16.0	44.0	60.0	53.0	88.333	12.0	75.0	4.0	25.0	41.0	93.182	3.0	6.818	84.091	739.167	585.0
98.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	604.625	582.0
98.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	736.214	720.0
98.0	1.0	b2	16.0	44.0	60.0	48.0	80.0	5.0	31.25	11.0	68.75	43.0	97.727	1.0	2.273	64.489	1124.2	829.0
101.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	628.0	603.5
101.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	652.25	592.0
101.0	1.0	b2	16.0	44.0	60.0	50.0	83.333	6.0	37.5	10.0	62.5	44.0	100.0	0.0	0.0	68.75	718.667	588.0
103.0	1.0	b0	16.0	44.0	60.0	53.0	88.333	16.0	100.0	0.0	0.0	37.0	84.091	7.0	15.909	92.045	597.438	614.5
103.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	765.188	742.5
103.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	1117.692	1120.0
104.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	665.188	665.5
104.0	1.0	b1	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	806.688	859.5
104.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	8.0	50.0	8.0	50.0	43.0	97.727	1.0	2.273	73.864	1175.25	1097.0
105.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	566.25	568.0
105.0	1.0	b1	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	790.933	789.0
105.0	1.0	b2	16.0	44.0	60.0	49.0	81.667	6.0	37.5	10.0	62.5	43.0	97.727	1.0	2.273	67.614	768.833	607.0
106.0	1.0	b0	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	706.5	663.5
106.0	1.0	b1	16.0	44.0	60.0	52.0	86.667	12.0	75.0	4.0	25.0	40.0	90.909	4.0	9.091	82.955	1009.583	923.5
106.0	1.0	b2	16.0	44.0	60.0	53.0	88.333	9.0	56.25	7.0	43.75	44.0	100.0	0.0	0.0	78.125	808.0	632.0
107.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	809.688	815.5
107.0	1.0	b1	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	842.5	739.5
107.0	1.0	b2	16.0	44.0	60.0	49.0	81.667	9.0	56.25	7.0	43.75	40.0	90.909	4.0	9.091	73.58	761.111	737.0
109.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	752.188	669.0
109.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	837.75	771.5
109.0	1.0	b2	16.0	44.0	60.0	47.0	78.333	6.0	37.5	10.0	62.5	41.0	93.182	3.0	6.818	65.341	1147.667	1171.0
110.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	641.875	621.5
110.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	881.062	880.5
110.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	853.143	771.0
111.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	562.188	557.0
111.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	657.867	618.0
111.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	740.714	597.0
112.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	778.933	761.0
112.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	856.062	770.0
112.0	1.0	b2	16.0	44.0	60.0	54.0	90.0	10.0	62.5	6.0	37.5	44.0	100.0	0.0	0.0	81.25	787.7	765.0
113.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	663.0	688.5
113.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	702.188	670.0
113.0	1.0	b2	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	783.267	714.0
114.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	720.562	656.5
114.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	708.375	714.5
114.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	15.0	93.75	1.0	6.25	42.0	95.455	2.0	4.545	94.602	1191.667	1177.0
115.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	697.688	678.5
115.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	967.375	911.5
115.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	1147.714	802.0
116.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	697.875	705.0
116.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	994.062	1040.5
116.0	1.0	b2	16.0	44.0	60.0	50.0	83.333	7.0	43.75	9.0	56.25	43.0	97.727	1.0	2.273	70.739	911.0	861.0
117.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	575.562	594.5
117.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	782.2	772.0
117.0	1.0	b2	16.0	44.0	60.0	55.0	91.667	13.0	81.25	3.0	18.75	42.0	95.455	2.0	4.545	88.352	753.077	709.0
118.0	1.0	b0	16.0	44.0	60.0	57.0	95.0	16.0	100.0	0.0	0.0	41.0	93.182	3.0	6.818	96.591	686.5	633.0
118.0	1.0	b1	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	736.083	614.5
118.0	1.0	b2	16.0	44.0	60.0	52.0	86.667	8.0	50.0	8.0	50.0	44.0	100.0	0.0	0.0	75.0	1103.5	965.5
119.0	1.0	b0	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	592.923	574.0
119.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	705.0	722.0
119.0	1.0	b2	16.0	44.0	60.0	48.0	80.0	4.0	25.0	12.0	75.0	44.0	100.0	0.0	0.0	62.5	832.25	642.5
120.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	671.875	545.0
120.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	776.6	779.0
120.0	1.0	b2	16.0	44.0	60.0	58.0	96.667	14.0	87.5	2.0	12.5	44.0	100.0	0.0	0.0	93.75	937.071	892.0
121.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	700.688	751.0
121.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	765.5	751.5
121.0	1.0	b2	16.0	44.0	60.0	55.0	91.667	12.0	75.0	4.0	25.0	43.0	97.727	1.0	2.273	86.364	958.75	974.5
122.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	719.5	697.5
122.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	1006.875	950.5
122.0	1.0	b2	16.0	44.0	60.0	53.0	88.333	10.0	62.5	6.0	37.5	43.0	97.727	1.0	2.273	80.114	934.6	893.0
123.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	541.312	533.5
123.0	1.0	b1	16.0	44.0	60.0	57.0	95.0	13.0	81.25	3.0	18.75	44.0	100.0	0.0	0.0	90.625	773.846	800.0
123.0	1.0	b2	16.0	44.0	60.0	54.0	90.0	11.0	68.75	5.0	31.25	43.0	97.727	1.0	2.273	83.239	603.818	456.0
124.0	1.0	b0	16.0	44.0	60.0	58.0	96.667	16.0	100.0	0.0	0.0	42.0	95.455	2.0	4.545	97.727	706.062	620.5
124.0	1.0	b1	16.0	44.0	60.0	58.0	96.667	15.0	93.75	1.0	6.25	43.0	97.727	1.0	2.273	95.739	819.6	768.0
124.0	1.0	b2	16.0	44.0	60.0	52.0	86.667	9.0	56.25	7.0	43.75	43.0	97.727	1.0	2.273	76.989	709.111	704.0
125.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	578.0	522.0
125.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	748.062	740.5
125.0	1.0	b2	16.0	44.0	60.0	56.0	93.333	12.0	75.0	4.0	25.0	44.0	100.0	0.0	0.0	87.5	880.083	853.0
126.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	780.625	704.0
126.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	748.562	703.5
126.0	1.0	b2	16.0	44.0	60.0	54.0	90.0	12.0	75.0	4.0	25.0	42.0	95.455	2.0	4.545	85.227	709.333	666.0
127.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	519.125	475.0
127.0	1.0	b1	16.0	44.0	60.0	59.0	98.333	15.0	93.75	1.0	6.25	44.0	100.0	0.0	0.0	96.875	619.267	541.0
127.0	1.0	b2	16.0	44.0	60.0	57.0	95.0	14.0	87.5	2.0	12.5	43.0	97.727	1.0	2.273	92.614	783.643	852.5
128.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	709.062	646.0
128.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	895.188	902.0
128.0	1.0	b2	16.0	44.0	60.0	51.0	85.0	7.0	43.75	9.0	56.25	44.0	100.0	0.0	0.0	71.875	772.143	698.0
129.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	517.812	518.5
129.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	587.312	560.0
129.0	1.0	b2	16.0	44.0	60.0	48.0	80.0	6.0	37.5	10.0	62.5	42.0	95.455	2.0	4.545	66.477	505.333	442.0
130.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	752.312	705.0
130.0	1.0	b1	16.0	44.0	60.0	57.0	95.0	14.0	87.5	2.0	12.5	43.0	97.727	1.0	2.273	92.614	816.786	864.5
130.0	1.0	b2	16.0	44.0	60.0	38.0	63.333	12.0	75.0	4.0	25.0	26.0	59.091	18.0	40.909	67.045	900.667	646.0
131.0	1.0	b0	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	479.125	483.5
131.0	1.0	b1	16.0	44.0	60.0	60.0	100.0	16.0	100.0	0.0	0.0	44.0	100.0	0.0	0.0	100.0	579.062	541.5
131.0	1.0	b2	16.0	44.0	60.0	56.0	93.333	13.0	81.25	3.0	18.75	43.0	97.727	1.0	2.273	89.489	649.615	394.0
132.0	1.0	b0	16.0	44.0	60.0	59.0	98.333	16.0	100.0	0.0	0.0	43.0	97.727	1.0	2.273	98.864	781.25	729.5
